object,type,classification,runtime_usage_count,migration_usage_count,documentation_usage_count,other_usage_count,runtime_files,migration_files,documentation_files,likely_columns_from_runtime_selects,direct_patterns
aspirant_certifications,table,runtime_used,7,0,2,1,app/backend/app/api/canonical.py; app/backend/app/eligibility/runner.py; app/backend/app/profile/eligibility_mapper.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py; app/backend/tests/test_profile_advanced_contract.py,,docs/schema/profile_schema_lineage_audit.md; docs/schema/supabase -Schema.md,id,"py_table, sql_public"
aspirant_education,table,runtime_used,6,0,4,1,app/backend/app/api/canonical.py; app/backend/app/profile/eligibility_mapper.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py; app/backend/tests/test_profile_contract.py,,docs/migration-reference/eligibility/old-runner.ts; docs/schema/profile_schema_lineage_audit.md; docs/schema/supabase -Schema.md; memory/PRD.md,"cgpa, degree, graduation_year, id, is_completed, level, percentage, stream","js_from, py_table, sql_public"
aspirant_exam_attempts,table,runtime_used,6,0,2,1,app/backend/app/api/canonical.py; app/backend/app/profile/eligibility_mapper.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py; app/backend/tests/test_profile_advanced_contract.py,,docs/schema/profile_schema_lineage_audit.md; docs/schema/supabase -Schema.md,id,"py_table, sql_public"
aspirant_exam_credentials,table,runtime_used,5,1,3,1,app/backend/app/eligibility/runner.py; app/backend/app/profile/eligibility_mapper.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py,app/supabase/migrations/046_exam_credentials.sql,docs/migration-reference/eligibility/old-runner.ts; docs/schema/supabase -Schema.md; memory/PRD.md,,"js_from, sql_public"
aspirant_experience,table,runtime_used,6,0,2,0,app/backend/app/api/canonical.py; app/backend/app/profile/eligibility_mapper.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py; app/backend/tests/test_profile_advanced_contract.py,,docs/schema/profile_schema_lineage_audit.md; docs/schema/supabase -Schema.md,id,"py_table, sql_public"
aspirant_location,table,runtime_used,4,0,2,0,app/backend/app/profile/eligibility_mapper.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py,,docs/schema/profile_schema_lineage_audit.md; docs/schema/supabase -Schema.md,,sql_public
aspirant_preferences,table,runtime_used,7,0,3,1,app/backend/app/api/canonical.py; app/backend/app/eligibility/runner.py; app/backend/app/profile/eligibility_mapper.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py; app/backend/tests/test_profile_contract.py,,docs/migration-reference/eligibility/old-runner.ts; docs/schema/profile_schema_lineage_audit.md; docs/schema/supabase -Schema.md,"id, preferred_sectors, preferred_states, study_hours_per_day, study_mode, target_exams, willing_to_relocate","js_from, py_table, sql_public"
aspirant_reservations,table,runtime_used,4,0,2,0,app/backend/app/profile/eligibility_mapper.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py,,docs/schema/profile_schema_lineage_audit.md; docs/schema/supabase -Schema.md,,sql_public
attempt_limits,table,runtime_used,7,0,5,0,app/backend/app/eligibility/engine.py; app/backend/app/eligibility/runner.py; app/backend/app/eligibility/schemas.py; app/backend/tests/eligibility/test_engine.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_engine.py,,app/reference/MIGRATIONS.md; docs/migration-reference/eligibility/old-engine.ts; docs/migration-reference/eligibility/old-runner.ts; docs/schema/supabase -Schema.md; memory/PRD.md,,sql_public
candidate_observations,table,migration_only_or_indirect,0,1,3,0,,app/supabase/migrations/044_aggregator_candidate_layers.sql,docs/engineering/aggregator-first-ingestion-strategy.md; docs/engineering/source-intelligence.md; docs/schema/supabase -Schema.md,,sql_public
career_progression,table,docs_only_review,0,0,1,0,,,docs/schema/supabase -Schema.md,,sql_public
certification_criteria,table,runtime_used,6,0,1,0,app/backend/app/eligibility/engine.py; app/backend/app/eligibility/runner.py; app/backend/app/eligibility/schemas.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_engine.py,,docs/schema/supabase -Schema.md,,sql_public
certifications,table,runtime_used,8,1,3,0,app/backend/app/api/canonical.py; app/backend/app/eligibility/runner.py; app/backend/app/profile/eligibility_mapper.py; app/backend/app/profile/eligibility_profile.py; app/backend/tests/test_eligibility_mapper.py; app/frontend/src/features/profile/components/CertificationsSection.jsx; app/frontend/src/features/profile/hooks/useProfileData.js; app/frontend/src/services/profileService.js,app/supabase/migrations/077_certifications_registry_metadata.sql,docs/engineering/frontend-form-validation.md; docs/migrations.md; docs/schema/supabase -Schema.md,"aliases, certification_type, exam_families, id, is_active, issuer, name, qualification_levels, sectors","py_table, sql_public"
chat_sessions,table,migration_only_or_indirect,0,1,1,0,,app/supabase/migrations/039_ai_chat_setup.sql,docs/schema/supabase -Schema.md,,sql_public
community_channels,table,migration_only_or_indirect,0,1,2,0,,app/supabase/migrations/050_community_foundation.sql,docs/product/roadmap.md; docs/schema/supabase -Schema.md,,sql_public
community_replies,table,migration_only_or_indirect,0,1,2,0,,app/supabase/migrations/050_community_foundation.sql,docs/product/roadmap.md; docs/schema/supabase -Schema.md,,sql_public
community_reports,table,migration_only_or_indirect,0,1,2,0,,app/supabase/migrations/050_community_foundation.sql,docs/product/roadmap.md; docs/schema/supabase -Schema.md,,sql_public
community_spaces,table,migration_only_or_indirect,0,1,2,0,,app/supabase/migrations/050_community_foundation.sql,docs/product/roadmap.md; docs/schema/supabase -Schema.md,,sql_public
community_threads,table,migration_only_or_indirect,0,1,2,0,,app/supabase/migrations/050_community_foundation.sql,docs/product/roadmap.md; docs/schema/supabase -Schema.md,,sql_public
community_votes,table,migration_only_or_indirect,0,1,2,0,,app/supabase/migrations/050_community_foundation.sql,docs/product/roadmap.md; docs/schema/supabase -Schema.md,,sql_public
course_sections,table,runtime_used,1,1,2,0,app/backend/app/api/canonical.py,app/supabase/migrations/049_marketplace_setup.sql,docs/schema/supabase -Schema.md; memory/PRD.md,,sql_public
courses,table,runtime_used,3,1,5,0,app/backend/app/api/canonical.py; app/backend/app/api/placeholders.py; app/frontend/src/pages/Marketplace.jsx,app/supabase/migrations/049_marketplace_setup.sql,docs/engineering/ai-strategy.md; docs/product/aspirant-platform-strategy.md; docs/product/vision.md; docs/schema/supabase -Schema.md; memory/PRD.md,"id, instructor_bio, original_price_inr, price_inr, short_description, slug, thumbnail_url, title","py_table, sql_public"
education_authorities,table,migration_only_or_indirect,0,1,1,0,,app/supabase/migrations/047_education_authority_grading.sql,docs/schema/supabase -Schema.md,,sql_public
education_criteria,table,runtime_used,8,2,7,0,app/backend/app/eligibility/engine.py; app/backend/app/eligibility/runner.py; app/backend/app/eligibility/schemas.py; app/backend/app/scraping/runner.py; app/backend/tests/eligibility/test_engine.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_engine.py,app/supabase/migrations/017_scraper_trust_evidence.sql; app/supabase/migrations/025_admin_promote_recruitment_payload.sql,app/reference/MIGRATIONS.md; docs/engineering/aggregator-first-ingestion-strategy.md; docs/migration-reference/eligibility/old-engine.ts; docs/migration-reference/eligibility/old-runner.ts; docs/migration-reference/scraping/old-runner.ts; docs/schema/supabase -Schema.md; memory/PRD.md,"extracted_data, id, status","js_from, py_table, sql_public"
educational_qualifications,table,docs_only_review,0,0,1,0,,,docs/schema/supabase -Schema.md,,sql_public
eligibility_recompute_queue,table,runtime_used,6,6,6,1,app/backend/app/api/admin_scrape.py; app/backend/app/eligibility/recompute_queue.py; app/backend/app/notifications/recompute_worker.py; app/backend/tests/test_profile_advanced_contract.py; app/backend/tests/test_profile_contract.py; app/backend/tests/test_recompute_queue_behaviour.py,app/supabase/migrations/011_auto_enqueue_eligibility_on_insert.sql; app/supabase/migrations/024_claim_eligibility_queue_rpc.sql; app/supabase/migrations/078_eligibility_recompute_queue_hardening.sql; app/supabase/migrations/079_recompute_queue_active_scope_index.sql; app/supabase/migrations/081_queue_query_indexes_and_cleanup_candidates.sql; app/supabase/migrations/082_queue_query_composite_indexes.sql,docs/engineering/code-review-pipeline-implementation-steps.md; docs/engineering/queue-query-analysis.md; docs/engineering/runbook.md; docs/feature-registry.md; docs/schema/supabase -Schema.md; memory/PRD.md,id,"py_table, sql_public"
eligibility_results,table,runtime_used,6,4,10,1,app/backend/app/api/canonical.py; app/backend/app/eligibility/runner.py; app/backend/app/notifications/recompute_worker.py; app/backend/app/scraping/alerts.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py,app/supabase/migrations/005_phase3b_eligibility_conditional.sql; app/supabase/migrations/028_user_recruitment_state.sql; app/supabase/migrations/038_ranking_v1.sql; app/supabase/migrations/083_eligibility_results_profile_hash.sql,app/reference/MIGRATIONS.md; docs/engineering/admin-strategy.md; docs/engineering/aggregator-first-ingestion-strategy.md; docs/engineering/domain-model.md; docs/engineering/scraper-runbook.md; docs/migration-reference/eligibility/old-runner.ts; docs/migration-reference/scraping/old-alerts.ts; docs/schema/profile_schema_lineage_audit.md; docs/schema/supabase -Schema.md; memory/PRD.md,"computed_at, fail_reasons, id, is_conditional, is_eligible, name, organizations, post_id, profile_hash, recruitment_id, user_id","js_from, py_table, sql_public"
embeddings,table,migration_only_or_indirect,0,1,4,0,,app/supabase/migrations/030_embeddings.sql,docs/00-ai-context.md; docs/migrations.md; docs/product/roadmap.md; docs/schema/supabase -Schema.md,,sql_public
enrollments,table,migration_only_or_indirect,0,1,1,0,,app/supabase/migrations/049_marketplace_setup.sql,docs/schema/supabase -Schema.md,,sql_public
exam_stages,table,docs_only_review,0,0,1,0,,,docs/schema/supabase -Schema.md,,sql_public
extracted_field_evidence,table,runtime_used,2,6,2,0,app/backend/app/api/admin_scrape.py; app/backend/tests/test_admin_queue.py,app/supabase/migrations/016_disable_auto_promote.sql; app/supabase/migrations/017_scraper_trust_evidence.sql; app/supabase/migrations/018_admin_queue_evidence_view.sql; app/supabase/migrations/072_field_evidence_alignment.sql; app/supabase/migrations/080_extracted_field_evidence_queue_field_unique.sql; app/supabase/migrations/081_queue_query_indexes_and_cleanup_candidates.sql,docs/engineering/source-intelligence.md; docs/schema/supabase -Schema.md,"document_id, field_name, id, reviewer_status","py_table, sql_public"
form_submissions,table,migration_only_or_indirect,0,1,4,0,,app/supabase/migrations/027_user_events_and_form_submissions.sql,docs/00-ai-context.md; docs/engineering/domain-model.md; docs/product/roadmap.md; docs/schema/supabase -Schema.md,,sql_public
forum_categories,table,runtime_used,1,1,2,0,app/backend/app/api/canonical.py,app/supabase/migrations/040_forum_setup.sql,docs/schema/supabase -Schema.md; memory/PRD.md,"color, description, exam_tag, icon, id, name, post_count, slug","py_table, sql_public"
forum_comment_upvotes,table,migration_only_or_indirect,0,1,1,0,,app/supabase/migrations/040_forum_setup.sql,docs/schema/supabase -Schema.md,,sql_public
forum_comments,table,runtime_used,1,2,2,0,app/backend/app/api/canonical.py,app/supabase/migrations/040_forum_setup.sql; app/supabase/migrations/041_forum_moderation_queue.sql,docs/schema/supabase -Schema.md; memory/PRD.md,"body, created_at, id, is_accepted, post_id, upvote_count","py_table, sql_public"
forum_post_upvotes,table,runtime_used,1,1,2,0,app/backend/app/api/canonical.py,app/supabase/migrations/040_forum_setup.sql,docs/schema/supabase -Schema.md; memory/PRD.md,"id, original_price_inr, post_id, price_inr, short_description, slug, thumbnail_url, title","py_table, sql_public"
forum_posts,table,runtime_used,1,2,2,0,app/backend/app/api/canonical.py,app/supabase/migrations/040_forum_setup.sql; app/supabase/migrations/041_forum_moderation_queue.sql,docs/schema/supabase -Schema.md; memory/PRD.md,"body, created_at, exam_tags, id, is_pinned, post_id, reply_count, title, upvote_count","py_table, sql_public"
forum_reports,table,migration_only_or_indirect,0,1,1,0,,app/supabase/migrations/041_forum_moderation_queue.sql,docs/schema/supabase -Schema.md,,sql_public
forum_reputation,table,migration_only_or_indirect,0,1,1,0,,app/supabase/migrations/040_forum_setup.sql,docs/schema/supabase -Schema.md,,sql_public
forum_saved_posts,table,migration_only_or_indirect,0,1,1,0,,app/supabase/migrations/040_forum_setup.sql,docs/schema/supabase -Schema.md,,sql_public
grading_conversion_rules,table,migration_only_or_indirect,0,1,1,0,,app/supabase/migrations/047_education_authority_grading.sql,docs/schema/supabase -Schema.md,,sql_public
instructor_payouts,table,migration_only_or_indirect,0,1,1,0,,app/supabase/migrations/049_marketplace_setup.sql,docs/schema/supabase -Schema.md,,sql_public
lesson_progress,table,migration_only_or_indirect,0,1,1,0,,app/supabase/migrations/049_marketplace_setup.sql,docs/schema/supabase -Schema.md,,sql_public
lessons,table,runtime_used,3,1,2,0,app/backend/app/api/canonical.py; app/backend/app/api/placeholders.py; app/frontend/src/pages/ResourceDetail.jsx,app/supabase/migrations/049_marketplace_setup.sql,docs/schema/supabase -Schema.md; memory/PRD.md,,sql_public
listing_observations,table,migration_only_or_indirect,0,1,3,0,,app/supabase/migrations/044_aggregator_candidate_layers.sql,docs/engineering/aggregator-first-ingestion-strategy.md; docs/engineering/source-intelligence.md; docs/schema/supabase -Schema.md,,sql_public
mock_subject_breakdowns,table,migration_only_or_indirect,0,1,1,0,,app/supabase/migrations/034_mock_tests.sql,docs/schema/supabase -Schema.md,,sql_public
mock_tests,table,runtime_used,1,1,2,0,app/backend/app/api/canonical.py,app/supabase/migrations/034_mock_tests.sql,docs/schema/supabase -Schema.md; memory/PRD.md,"id, status, subject","py_table, sql_public"
notification_alerts,table,runtime_used,11,8,6,1,app/backend/app/api/notifications.py; app/backend/app/eligibility/runner.py; app/backend/app/notifications/__init__.py; app/backend/app/notifications/dispatcher.py; app/backend/app/notifications/next_actions.py; app/backend/app/notifications/recompute_worker.py; app/backend/app/scraping/__init__.py; app/backend/app/scraping/alerts.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_next_actions_engine.py,app/supabase/migrations/003_v_notification_feed.sql; app/supabase/migrations/010_notification_alerts_unique_fanout.sql; app/supabase/migrations/015_notification_alerts_email_sent.sql; app/supabase/migrations/022_drop_legacy_recruitment_open_trigger.sql; app/supabase/migrations/023_fix_service_role_policies.sql; app/supabase/migrations/026_notification_alert_state_uniqueness.sql; app/supabase/migrations/048_notification_group_state.sql; app/supabase/migrations/068_notification_next_action_dedupe.sql,app/reference/MIGRATIONS.md; docs/engineering/runbook.md; docs/migration-reference/eligibility/old-runner.ts; docs/migration-reference/scraping/old-alerts.ts; docs/schema/supabase -Schema.md; memory/PRD.md,"alert_type, apply_end_date, email_sent, id, is_read, name, priority, recruitment_id, sent_at, slug, source, status, user_id","js_from, py_table, sql_public"
notification_documents,table,runtime_used,2,1,1,0,app/backend/app/api/admin_scrape.py; app/backend/tests/test_admin_queue.py,app/supabase/migrations/017_scraper_trust_evidence.sql,docs/schema/supabase -Schema.md,id,"py_table, sql_public"
notification_generation_runs,table,runtime_used,2,1,1,0,app/backend/app/api/notifications.py; app/backend/tests/test_notifications_api_next_actions.py,app/supabase/migrations/070_notification_generation_runs.sql,docs/schema/supabase -Schema.md,id,"py_table, sql_public"
notification_group_state,table,migration_only_or_indirect,0,1,1,0,,app/supabase/migrations/048_notification_group_state.sql,docs/schema/supabase -Schema.md,,sql_public
notification_preferences,table,runtime_used,6,4,3,0,app/backend/app/api/notifications.py; app/backend/app/notifications/__init__.py; app/backend/app/notifications/dispatcher.py; app/backend/app/notifications/next_actions.py; app/backend/tests/test_next_actions_engine.py; app/frontend/src/pages/admin/Notifications.jsx,app/supabase/migrations/014_notification_preferences.sql; app/supabase/migrations/015_notification_alerts_email_sent.sql; app/supabase/migrations/023_fix_service_role_policies.sql; app/supabase/migrations/069_notification_preferences_governance.sql,docs/product/roadmap.md; docs/schema/supabase -Schema.md; memory/PRD.md,id,"py_table, sql_public"
notification_templates,table,migration_only_or_indirect,0,1,3,0,,app/supabase/migrations/037_runbook_schema.sql,docs/engineering/admin-strategy.md; docs/feature-registry.md; docs/schema/supabase -Schema.md,,sql_public
organizations,table,runtime_used,18,7,12,0,app/backend/app/api/admin_trust.py; app/backend/app/api/canonical.py; app/backend/app/eligibility/runner.py; app/backend/app/notifications/dispatcher.py; app/backend/app/scraping/alerts.py; app/backend/app/scraping/runner.py; app/backend/tests/test_admin_mutations.py; app/backend/tests/test_admin_trust.py; app/backend/tests/test_applications_contract.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_recruitment_visibility.py; app/backend/tests/test_scrape_runner_promote.py; app/frontend/src/components/FAQ.jsx; app/frontend/src/pages/admin/AdminShell.jsx; app/frontend/src/pages/admin/Organizations.jsx; app/frontend/src/routes/adminRoutes.jsx; app/frontend/src/services/adminTrustService.js,app/supabase/migrations/003_v_notification_feed.sql; app/supabase/migrations/025_admin_promote_recruitment_payload.sql; app/supabase/migrations/029_exam_summary_support.sql; app/supabase/migrations/036_org_trust_fields.sql; app/supabase/migrations/038_ranking_v1.sql; app/supabase/migrations/051_fix_organization_unique_and_reset_ghosts.sql; app/supabase/migrations/071_trust_pipeline_hardening.sql,app/reference/MIGRATIONS.md; docs/engineering/admin-strategy.md; docs/engineering/aggregator-first-ingestion-strategy.md; docs/engineering/ai-strategy.md; docs/engineering/domain-model.md; docs/migration-reference/README.md; docs/migration-reference/eligibility/old-runner.ts; docs/migration-reference/scraping/old-alerts.ts; docs/migration-reference/scraping/old-runner.ts; docs/product/vision.md; docs/schema/supabase -Schema.md; memory/PRD.md,"extracted_data, id, is_verified, name, official_apply_url, official_domain, official_notification_url, organizations, publish_status, published_at, published_by, recruitment_sources, review_notes, state, status, trust_tier, type, verification_notes, verified_at, website_url","js_from, py_table, sql_public"
payment_history,table,runtime_used,1,1,2,0,app/backend/app/api/payments.py,app/supabase/migrations/054_razorpay_subscriptions.sql,docs/schema/supabase -Schema.md; memory/PRD.md,interval,"py_table, sql_public"
posts,table,runtime_used,24,6,19,1,app/backend/app/api/admin_scrape.py; app/backend/app/api/admin_trust.py; app/backend/app/api/canonical.py; app/backend/app/api/placeholders.py; app/backend/app/eligibility/engine.py; app/backend/app/eligibility/runner.py; app/backend/app/scraping/extractor.py; app/backend/app/scraping/normalizer.py; app/backend/app/scraping/runner.py; app/backend/app/scraping/schemas.py; app/backend/tests/scraping/test_normalizer.py; app/backend/tests/test_admin_trust.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_engine.py; app/backend/tests/test_scrape_runner_promote.py; app/frontend/src/components/Hero.jsx; app/frontend/src/components/Pricing.jsx; app/frontend/src/components/Testimonials.jsx; app/frontend/src/pages/Dashboard.jsx; app/frontend/src/pages/ExamDetail.jsx; app/frontend/src/pages/Exams.jsx; app/frontend/src/pages/ThreadDetail.jsx; app/frontend/src/pages/admin/Recruitment.jsx,app/supabase/migrations/019_admin_rbac_audit.sql; app/supabase/migrations/025_admin_promote_recruitment_payload.sql; app/supabase/migrations/027_user_events_and_form_submissions.sql; app/supabase/migrations/029_exam_summary_support.sql; app/supabase/migrations/040_forum_setup.sql; app/supabase/migrations/080_extracted_field_evidence_queue_field_unique.sql,app/reference/MIGRATIONS.md; docs/engineering/admin-strategy.md; docs/engineering/aggregator-first-ingestion-strategy.md; docs/engineering/ai-strategy.md; docs/engineering/domain-model.md; docs/engineering/runbook.md; docs/engineering/scraper-runbook.md; docs/engineering/source-intelligence.md; docs/migration-reference/README.md; docs/migration-reference/eligibility/old-engine.ts; docs/migration-reference/eligibility/old-runner.ts; docs/migration-reference/scraping/old-extractor.ts; docs/migration-reference/scraping/old-runner.ts; docs/product/aspirant-platform-strategy.md; docs/product/community-platform.md; docs/product/monetization.md; docs/product/roadmap.md; docs/schema/supabase -Schema.md; memory/PRD.md,"exam_key, extracted_data, id, recruitment_id, status","js_from, py_table, sql_public"
probation_details,table,docs_only_review,0,0,1,0,,,docs/schema/supabase -Schema.md,,sql_public
profiles,table,runtime_used,15,17,8,2,app/backend/app/api/admin_scrape.py; app/backend/app/api/canonical.py; app/backend/app/api/notifications.py; app/backend/app/api/payments.py; app/backend/app/eligibility/runner.py; app/backend/app/profile/eligibility_mapper.py; app/backend/server.py; app/backend/tests/test_db_utils_async.py; app/backend/tests/test_eligibility_api_integration.py; app/backend/tests/test_eligibility_incremental_hash.py; app/backend/tests/test_eligibility_mapper.py; app/backend/tests/test_error_propagation_api.py; app/backend/tests/test_notifications_api_next_actions.py; app/backend/tests/test_profile_advanced_contract.py; app/backend/tests/test_profile_contract.py,app/supabase/migrations/004_phase3b_profiles_service_years.sql; app/supabase/migrations/011_auto_enqueue_eligibility_on_insert.sql; app/supabase/migrations/017_scraper_trust_evidence.sql; app/supabase/migrations/019_admin_rbac_audit.sql; app/supabase/migrations/021_career_goal.sql; app/supabase/migrations/023_fix_service_role_policies.sql; app/supabase/migrations/027_user_events_and_form_submissions.sql; app/supabase/migrations/035_ai_action_policies.sql; app/supabase/migrations/037_runbook_schema.sql; app/supabase/migrations/040_forum_setup.sql; app/supabase/migrations/041_forum_moderation_queue.sql; app/supabase/migrations/045_user_recruitment_feedback.sql; app/supabase/migrations/046_exam_credentials.sql; app/supabase/migrations/048_notification_group_state.sql; app/supabase/migrations/049_marketplace_setup.sql; app/supabase/migrations/050_community_foundation.sql; app/supabase/migrations/070_notification_generation_runs.sql,app/reference/MIGRATIONS.md; docs/engineering/admin-strategy.md; docs/engineering/scraper-runbook.md; docs/migration-reference/eligibility/old-runner.ts; docs/product/roadmap.md; docs/schema/profile_schema_lineage_audit.md; docs/schema/supabase -Schema.md; memory/PRD.md,"avatar_url, avg_rating, currency, description, document_id, exam_tags, features, full_name, id, instructor_bio, interval, is_active, name, price_inr, sort_order","js_from, py_table, sql_public"
recruitment_candidates,table,migration_only_or_indirect,0,1,3,0,,app/supabase/migrations/044_aggregator_candidate_layers.sql,docs/engineering/aggregator-first-ingestion-strategy.md; docs/engineering/source-intelligence.md; docs/schema/supabase -Schema.md,,sql_public
recruitment_events,table,migration_only_or_indirect,0,1,2,0,,app/supabase/migrations/076_recruitment_events.sql,docs/engineering/aggregator-first-ingestion-strategy.md; docs/schema/supabase -Schema.md,,sql_public
recruitment_field_diffs,table,docs_only_review,0,0,1,0,,,docs/schema/supabase -Schema.md,,sql_public
recruitment_versions,table,docs_only_review,0,0,1,0,,,docs/schema/supabase -Schema.md,,sql_public
